headline,abstract,pub_date,web_url
Regulators Find Apple’s Secrecy Violates Workers’ Rights,"After a yearlong investigation, a federal labor board determined that the tech giant’s rules interfere with employees’ right to organize.",2023-01-31T17:39:19+0000,https://www.nytimes.com/2023/01/31/technology/apple-workers-rights.html
Apple Reaches Deal With Investors to Audit Its Labor Practices,"The tech giant will assess its compliance with its official human rights policy, according to a federal filing.",2023-01-17T16:00:08+0000,https://www.nytimes.com/2023/01/17/business/economy/apple-labor.html
"Easy to Use, Mobile Payment Apps Are Also Easy to Misuse","While they have taken steps to help prevent mishaps, a new report finds they offer few protections if, for instance, users accidentally send money to the wrong person.",2023-01-28T08:00:08+0000,https://www.nytimes.com/2023/01/28/your-money/mobile-payment-venmo-zelle-cash-app.html
A Short Seller Costs an Indian Giant Billions,"The Adani Group, the Indian conglomerate run by Asia’s wealthiest man, has gone on the offensive to fight fraud allegations by an American investor.",2023-01-30T13:00:36+0000,https://www.nytimes.com/2023/01/30/business/dealbook/adani-short-seller-hindenburg.html
5 Things to Do This Weekend,"Selections from the Weekend section, including a review of Brandon Cronenberg's ""Infinity Pool.""",2023-01-27T10:00:02+0000,https://www.nytimes.com/interactive/2023/01/27/arts/weekend-editors-picks-infinity-pool.html
‘Shrinking’ Review: On the Couch With Harrison Ford,An Apple TV+ dramedy from Jason Segel and some “Ted Lasso” principals is at its best when America’s sexiest uncle is dispensing advice.,2023-01-26T19:11:14+0000,https://www.nytimes.com/2023/01/26/arts/television/shrinking-review.html
"In ‘Shrinking,’ Jason Segel Does the Work","The actor is a star, writer and executive producer of this new series about a therapist crushed by grief and trying to put himself back together. It’s a comedy.",2023-01-25T15:00:11+0000,https://www.nytimes.com/2023/01/25/arts/television/shrinking-jason-segel.html
Live Nation Faces a Skeptical Senate,"The company’s grip on ticket sales, and its move last year to cancel sales for Taylor Swift’s upcoming tour, will be a big focus of an antitrust-focused hearing.",2023-01-24T12:44:59+0000,https://www.nytimes.com/2023/01/24/business/dealbook/live-nation-ticketmaster-antitrust.html
The S.E.C.’s Crypto Crackdown Intensifies,The agency has charged the crypto trading firms Genesis Global Capital and Gemini with operating an illegal lending service that lost customers millions.,2023-01-13T13:07:14+0000,https://www.nytimes.com/2023/01/13/business/dealbook/sec-crypto-crackdown-gemini-genesis-dcg.html
Why Does Big Tech Make It So Hard to Fix Your Devices?,The C.E.O. of iFixit is fighting for your right to stop shopping and start repairing.,2023-01-12T10:00:14+0000,https://www.nytimes.com/2023/01/12/opinion/big-tech-right-to-repair.html
Apple Revenue and Profit Down as iPhone Sales Slow,The iPhone maker said sales of its flagship product were down 8 percent as it dealt with a factory shutdown and worries about rising inflation.,2023-02-02T22:13:35+0000,https://www.nytimes.com/2023/02/02/technology/apple-revenue-profit-iphone-sales-slow.html
‘Liaison’: Vincent Cassel and Eva Green Simmer as Global Tensions Boil,"For Apple TV+’s new geopolitical thriller, the two French stars finally joined powers. The sparks between them may fly faster than the bullets.",2023-02-25T13:00:07+0000,https://www.nytimes.com/2023/02/25/arts/television/liaison-vincent-cassel-and-eva-green.html
Eugene Levy Never Wanted to See the World,The comic actor balked when he was offered a travel show. But hosting “The Reluctant Traveler” showed him the (mild) joys of leaving his comfort zone.,2023-02-28T10:00:14+0000,https://www.nytimes.com/2023/02/28/arts/television/eugene-levy-the-reluctant-traveler.html
M.L.S. Returns With Another New Team and a Whole New Way to Watch,"St. Louis City S.C. will hit the field as the league’s 29th franchise, but to watch it, and every other team, fans will have to get to know Apple TV+.",2023-02-23T20:54:37+0000,https://www.nytimes.com/2023/02/23/sports/soccer/mls-preview-2023.html
